,A1BG,A1CF,A2M,A4GALT,AAAS,AACS,AADAC,AADAT,AAGAB,AAK1,AAR2,AARS,AARS2,AARSD1,AATF,ABAT,ABCA1,ABCA10,ABCA3,ABCA6,ABCA7,ABCA8,ABCA9,ABCB10,ABCB11,ABCB8,ABCB9,ABCC1,ABCC10,ABCC4,ABCC5,ABCC9,ABCD1,ABCD3,ABCD4,ABCF1,ABCF2,ABCF3,ABCG1,ABCG4,ABCG5,ABCG8,ABHD11,ABHD12,ABHD14A,ABHD14B,ABHD15,ABHD16A,ABHD17C,ABHD2
ABCB10,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.010685506438055964,-0.0,-0.002927976792702333,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.00961622832813229,0.0,-0.1937836632515953,-0.0,-0.0,-0.0,-0.0,0.0,-0.01096315646148393,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.010515702851217473,0.21879456775224554
ABCB11,-0.0,-0.1382072451038473,-0.0,0.0,0.21348934906323272,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0061595503560670645,-0.0,-0.015450563539824713,-0.0,-0.0,-0.006868229496350103,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.1083997007579759,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.06647271084959824,0.0,0.0,-0.002296295713078038
ABCB8,0.0,0.0,-0.0,0.0,0.0,-0.0,0.176847198703636,0.0,-0.0,0.0,0.11878815701305893,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.08519778134392977,-0.030083196413558853,0.0295482863009517,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.04936537344596753,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.1363425362989348,-0.15671957764561786,0.0,0.0,-0.0,0.0,0.0,0.0,0.06905066414393449,0.0,0.0,-0.0
ABCB9,0.0,0.0,-0.18007722554967112,-0.023618154604655897,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.03881972269398723,-0.0,0.0,-0.0,0.25721850329940354,-0.0,0.1168861033906391,0.0,0.0,-0.0,0.02225524089890423,0.0,0.0,0.0,-0.0,-0.0,-0.0
ABCC1,-0.0,0.0,-0.0,-0.0,-0.0,-0.09623558101339764,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0330488625357707,-0.0,0.09248051435450858,0.09718932107690023,0.0,-0.10467501868366677,0.0430933273133792,0.0,0.0,0.10815101530510925,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.007687228946508043,-0.0,0.012929227672217089,0.09095937070096843,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.010938904628043478,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.021487492370171023,0.1832041742998205
ABCC10,0.0,0.0,-0.0,-0.0,-0.011264132871267974,-0.0,-0.045590075561968944,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.1323995931839606,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.07680258941698717,0.0,-0.0,0.0
ABCC4,0.0,0.0,-0.0,-0.07430247972302668,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1917060234421822,0.0,-0.0,0.0,0.0,-0.0,0.11044913308245509,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.05972062392152275,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.00641842187560672,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
ABCC5,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.17995417043240833,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.006932854124357388,0.0,-0.0,0.04744269245355134,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0013193614617492064,0.0
ABCC9,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.03576377211650095,0.0,0.0,0.05531904723503782,-0.0,-0.13383622057975708,0.0,-0.0,0.0,0.0,0.16623207361270054,0.0,0.0,-0.0,0.29209863404026043,0.0,-0.0,0.0,-0.21995327447776755,-0.0,0.0,-0.061814582818487965,-0.0,0.03702055836644886,0.0,-0.09235292060858252,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.36813698507620074,0.042855445664767844,0.016021454311764466,0.0,-0.0,0.07307957793669992,-0.0,0.0,-0.053750336761651696,0.0,-0.0
ABCD1,-0.0672634269642582,-0.0,0.08610639455940719,-0.0,-0.0,0.0,0.01388573095620399,-0.1069916799002998,0.0,0.08728975159102659,-0.0,-0.0,-0.0,-0.13012831187088184,-0.023920805863475378,-0.0,-0.0,-0.0,0.0,-0.0,0.07320140560301164,-0.0,-0.0,0.0,-0.0,0.0,0.10143383955062765,0.0,-0.0,0.0,-0.0,0.0,0.1687044178218853,-0.0,-0.2012603348326019,-0.0,0.0,-0.2716173746446192,0.0,-0.0,-0.1432577581932852,-0.0,-0.0,0.0,-0.19192103466796737,0.0,-0.0,0.0,0.0,0.0
ABCD3,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.03793098431534336,0.018264285146220083,-0.0,0.16636312766791506,0.04228871458684,0.0702477853773017,0.0,0.07511964391135441,-0.0,-0.0,-0.0,0.0,-0.0,-0.06849551159932138,-0.051959816537179335,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1981688886181056,0.0,-0.0,0.0,0.018814639466618835,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.07629421265432715,-0.19036932932372982,-0.0,-0.0,-0.0,0.0
ABCD4,0.18989879194891846,-0.1971723375444444,0.0,0.0,0.0,-0.0,-0.0,0.0,0.12149312602274087,-0.0,0.0,-0.07064098487049997,-0.0,-0.09070199741184085,-0.13083154331719526,0.0,0.0,0.1485849396046318,-0.0,-0.0,0.0,-0.0,0.0,0.11879732333709714,-0.0,0.2590952022294205,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.07811604515460557,-0.08539645406473073,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.00869197296733569,0.0,0.0021288931995977964,-0.0
ABCF1,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.18123068264830583,-0.0,0.0,-0.0972355637453241,-0.0,0.0,0.0,0.0,0.11847775967018172,0.0,-0.0,-0.0,-0.11939694311939653,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.00966953781475901,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.05081361859091349,0.047338772764769194,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0078074677345903384,-0.0,0.0,-0.011265518770902289,-0.0
ABCF2,-0.0,0.038644294571748006,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.13844099018336128,0.0,-0.0,-0.0,0.17590288555293496,0.0,0.06696495855863423,0.0,-0.0,0.028813395340332115,-0.0,-0.0,-0.04654929312103445,-0.0011389133480198682,-0.0,-0.0,0.10947737856089614,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.2452787567425574,0.30754936587952886,-0.0,-0.12750008109713798,0.0,0.0,0.12690132013396438,-0.0,-0.02048477454535809,0.0
ABCF3,0.0,-0.0,0.0,0.36017119557176164,-0.06617431515523368,0.14116859950949717,-0.0,0.0,-0.0,0.0,-0.16155405961744002,0.0,-0.0,-0.07598111156587439,-0.0,-0.0,-0.0,-0.09080232224422399,0.0,0.0,0.0,0.0,0.0,-0.12314815780020535,0.0,-0.017587122684370723,0.0,0.0,-0.0,0.0750607822824532,-0.0,0.0,0.0,0.0,-0.0,-0.044384474845335475,-0.0,-0.0,0.0672265932450572,-0.0,-0.04886522741294691,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10800893019185798,0.03943833359832048,0.03623474168652677
ABCG1,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.18677769151101653,0.0,0.0,-0.043597050111231536,-0.0,-0.1052960390575271,-0.14618329297374255,0.0,0.005731958671051064,0.16339217531467787,-0.0,0.0,0.00721402827050889,0.0,0.1899216680387688,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.23214348999132345,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.023243864436569256,0.10949662967199056,-0.0,0.0,0.0,-0.0,-0.09639133466430158,-0.0,0.0,0.0,0.0,-0.058395130294501565,0.0
ABCG4,-0.21890628102898352,-0.0,0.048010030695251636,-0.0,-0.0,-0.0,0.06085988266075045,-0.08400678989369516,0.0,0.0,0.0882622197774381,0.0,-0.046662675824627964,-0.0,-0.0,-0.0806143856774717,0.12744555899544124,-0.0,0.0,-0.07742924903076828,0.0,-0.0,-0.0,0.0,-0.09049710873923855,-0.0,-0.03283178845099308,0.0,0.0,-0.17853700245002146,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.17404720078095984,-0.0,-0.0,-0.0532259514668693,-0.0,-0.0,0.0,-0.0,-0.2584695672409173,0.0,0.0,0.0
ABCG5,0.0,0.11101617148615742,-0.0,0.0,-0.0,-0.01876193094157637,-0.0,0.13639196991235786,0.0,0.0,0.0,0.0,0.08860996308595359,-0.0,-0.0,0.0,0.181073122437432,-0.0,-0.0,0.0,-0.036425898142299705,0.021079193423741094,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.16004193062410874,0.0,0.0,0.08508770336609357,-0.0,-0.0,0.0,0.055755427267657406,-0.03062829263987011,0.0,-0.0,-0.0,0.0,0.007407622902002767,-0.0,0.0
ABCG8,-0.0,0.04561759859770664,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.017532238911276872,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.14659858003788723,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.25311004222228967,0.0,0.10989517170192163,0.0,-0.03848058584954321,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.052751032500010286,0.0,0.0,0.0,0.0,-0.0
ABHD11,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.02400703286585667,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.15700041609352017,0.0
ABHD12,-0.0,0.0,-0.11772795198181396,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.18320399703601975,-0.0,0.0,-0.0,0.0,0.0,0.08025037524499215,-0.0,-0.0,-0.0,-0.0,-0.0,0.058563469877383756,0.04395454735316752,-0.03875047127334436,-0.0,-0.0,0.0,-0.0,-0.0655754165098596,0.10096162259067017,0.0
ABHD14A,0.0,-0.001715783382784511,0.0,0.056416981131966165,-0.0,-0.04518379644036909,-0.0,0.0,-0.07742688117258553,-0.0,0.0,0.1473098458410607,0.0,0.0,0.0,-0.015384333142025503,0.0,-0.26317502029275625,0.0,-0.0,-0.0,0.0,-0.002419368750880349,-0.0,-0.0,-0.05684226268606404,-0.0,0.06793247283317035,0.0,-0.0,0.0,-0.09631197954267727,0.0,-0.09736539259625597,0.0,0.25876630447556304,0.0,0.0,0.0,-0.029938083250711893,-0.0,-0.0,-0.06510080958088496,-0.0,0.0,-0.08933223740305266,-0.0,0.10438742770175288,0.0,-0.0
ABHD14B,0.0,0.0,0.0051129162305508305,-0.0,0.19481949301992108,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.09882847011717341,-0.0,0.0,-0.0,-0.0,0.0,-0.10435191570728926,-0.0,0.01602210646158435,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.056398638830568844,-0.0,0.0,0.0,0.0683397032567194,-0.009898417210992647,-0.0
ABHD15,0.0,-0.0,0.0,0.0,0.0,-0.02220608532431871,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00759202576851558,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.14775573058970393,-0.0,0.11374394803891161,-0.0,0.0,-0.0,-0.008416194951168104,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.035177876712505586,-0.0,-0.0,0.04261609225092987,0.0,0.07719032820229288,0.007992047575338106,-0.0
ABHD16A,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.10641360723121995,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.03726975512811037,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.01822957383674867,0.0,0.0,-0.0,-0.0,-0.11975491345729289
ABHD17C,-0.07208929917106006,0.11037206238194391,-0.003567172442610636,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.28711467780642563,0.15327358344494774,-0.0,0.0,0.34631339767014324,0.0,-0.0,-0.0,0.1408984387717907,-0.0,0.0,-0.0,0.3481198279108835,0.30648597158304725,-0.15493730052690768,-0.0,-0.0023117029250183177,-0.031064405937290818,-0.0,-0.0,0.10452303538945008,0.00386129235675068,-0.0,-0.0,0.0,-0.0,-0.00010576562974842774,-0.01903075683443957,-0.11128746388724611,0.0,0.04197901258421968,-0.0,-0.11557811720953218,0.0,0.0,0.07005548399221925,0.04053670068998587,0.0,-0.0
ABHD2,-0.060046744994785864,-0.0,0.0,0.0,0.0,0.0,0.0,-0.011029488181483957,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.49571615516475825,0.006863730913546112,-0.08447354709076417,0.0,-0.0,0.0,0.0,0.009551011501065895,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.21789509883383384,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.02882219115538809,0.0,-0.0,0.0,-0.04071325988761923
